Time,Weight
13_43_09,0.56
13_43_10,0.6
13_43_11,0.53
13_43_12,0.54
13_43_13,0.47
13_43_14,0.54
13_43_15,0.57
13_43_16,0.55
13_43_17,0.63
13_43_18,0.47
13_43_19,0.64
13_43_20,0.55
13_43_21,0.59
13_43_22,0.6
13_43_23,0.56
13_43_24,0.66
13_43_25,0.55
13_43_26,0.64
13_43_27,0.51
13_43_28,0.55
13_43_29,0.63
13_43_30,0.49
13_43_31,0.62
13_43_32,0.53
13_43_33,0.63
13_43_34,0.55
13_43_35,0.55
13_43_36,0.61
13_43_37,0.5
13_43_38,0.65
13_43_39,0.51
13_43_40,0.63
13_43_41,0.5
13_43_42,0.59
13_43_43,0.61
13_43_45,0.49
13_43_46,0.63
13_43_47,0.56
13_43_48,0.51
13_43_49,0.56
13_43_50,0.61
13_43_51,0.64
13_43_52,0.49
13_43_53,0.61
13_43_54,0.53
13_43_55,0.6
13_43_56,0.51
13_43_57,0.6
13_43_58,0.53
13_43_59,0.52
13_44_00,0.62
13_44_01,0.51
13_44_02,0.61
13_44_03,0.55
13_44_04,0.59
13_44_05,0.56
13_44_06,0.56
13_44_07,0.55
13_44_08,0.53
13_44_09,0.57
13_44_10,0.54
13_44_11,0.61
13_44_12,0.54
13_44_13,0.55
13_44_14,0.57
13_44_15,0.53
13_44_16,0.64
13_44_17,0.48
13_44_18,0.59
13_44_19,0.54
13_44_20,0.59
13_44_21,0.55
13_44_22,0.54
13_44_23,0.58
13_44_25,0.5
13_44_26,0.6
13_44_27,0.51
13_44_28,0.61
13_44_29,0.59
13_44_30,0.53
13_44_31,0.58
13_44_32,0.57
13_44_33,0.6
13_44_34,0.49
13_44_35,0.63
13_44_36,0.56
13_44_37,0.6
13_44_38,0.58
13_44_39,0.57
13_44_40,0.59
13_44_41,0.59
13_44_42,0.62
13_44_43,0.54
13_44_44,0.62
13_44_45,0.6
13_44_46,0.61
13_44_47,0.56
13_44_48,0.54
13_44_49,0.59
13_44_50,0.54
13_44_51,0.63
13_44_52,0.6
13_44_53,0.62
13_44_54,0.54
13_44_55,0.52
13_44_56,0.58
13_44_57,0.5
13_44_58,0.61
13_44_59,0.49
13_45_00,0.55
13_45_01,0.55
13_45_02,0.57
13_45_04,0.6
13_45_05,0.52
13_45_06,0.57
13_45_07,0.5
13_45_08,0.58
13_45_09,0.51
13_45_10,0.64
13_45_11,0.51
13_45_12,0.59
13_45_13,0.58
13_45_14,0.59
13_45_15,0.59
13_45_16,0.51
13_45_17,0.54
13_45_18,0.53
13_45_19,0.55
13_45_20,0.64
13_45_21,0.51
13_45_22,0.56
13_45_23,0.53
13_45_24,0.64
13_45_25,0.61
13_45_26,0.59
13_45_27,0.55
13_45_28,0.53
13_45_29,0.58
13_45_30,0.54
13_45_31,0.59
13_45_32,0.57
13_45_33,0.59
13_45_34,0.55
13_45_35,0.53
13_45_36,0.6
13_45_37,0.58
13_45_38,0.6
13_45_39,0.59
13_45_40,0.55
13_45_41,0.57
13_45_42,0.58
13_45_44,0.62
13_45_45,0.53
13_45_46,0.59
13_45_47,0.57
13_45_48,0.65
13_45_49,0.59
13_45_50,0.59
13_45_51,0.6
13_45_52,0.5
13_45_53,0.6
13_45_54,0.54
13_45_55,0.56
13_45_56,0.51
13_45_57,0.56
13_45_58,0.62
13_45_59,0.55
13_46_00,0.65
13_46_01,0.49
13_46_02,0.6
13_46_03,0.55
13_46_04,0.58
13_46_05,0.62
13_46_06,0.61
13_46_07,0.66
13_46_08,0.51
13_46_09,0.62
13_46_10,0.56
13_46_11,0.6
13_46_12,0.59
13_46_13,0.48
13_46_14,0.57
13_46_15,0.57
13_46_16,0.58
13_46_17,0.56
13_46_18,0.64
13_46_19,0.53
13_46_20,0.59
13_46_21,0.57
13_46_23,0.6
13_46_24,0.55
13_46_25,0.56
13_46_26,0.56
13_46_27,0.52
13_46_28,0.63
13_46_29,0.52
13_46_30,0.6
13_46_31,0.57
13_46_32,0.56
13_46_33,0.64
13_46_34,0.58
13_46_35,0.55
13_46_36,0.53
13_46_37,0.62
13_46_38,0.56
13_46_39,0.62
13_46_40,0.57
13_46_41,0.56
13_46_42,0.64
13_46_43,0.52
13_46_44,0.59
13_46_45,0.56
13_46_46,0.56
13_46_47,0.58
13_46_48,0.54
13_46_49,0.66
13_46_50,0.54
13_46_51,0.59
13_46_52,0.6
13_46_53,0.54
13_46_54,0.61
13_46_55,0.49
13_46_56,0.61
13_46_57,0.56
13_46_58,0.57
13_46_59,0.52
13_47_00,0.58
13_47_02,0.61
13_47_03,0.56
13_47_04,0.56
13_47_05,0.54
13_47_06,0.58
13_47_07,0.59
13_47_08,0.57
13_47_09,0.59
13_47_10,0.51
13_47_11,0.63
13_47_12,0.56
13_47_13,0.59
13_47_14,0.57
13_47_15,0.56
13_47_16,0.61
13_47_17,0.53
13_47_18,0.62
13_47_19,0.55
13_47_20,0.57
13_47_21,0.53
13_47_22,0.51
13_47_23,0.61
13_47_24,0.56
13_47_25,0.62
13_47_26,0.56
13_47_27,0.6
13_47_28,0.61
13_47_29,0.59
13_47_30,0.61
13_47_31,0.51
13_47_32,0.56
13_47_33,0.52
13_47_34,0.61
13_47_35,0.59
13_47_36,0.56
13_47_37,0.55
13_47_38,0.53
13_47_39,0.63
13_47_40,0.57
13_47_42,0.6
13_47_43,0.52
13_47_44,0.53
13_47_45,0.54
13_47_46,0.61
13_47_47,0.6
13_47_48,0.56
13_47_49,0.58
13_47_50,0.51
13_47_51,0.54
13_47_52,0.6
13_47_53,0.58
13_47_54,0.62
13_47_55,0.52
13_47_56,0.57
13_47_57,0.54
13_47_58,0.61
13_47_59,0.57
13_48_00,0.56
13_48_01,0.6
13_48_02,0.54
13_48_03,0.62
13_48_04,0.54
13_48_05,0.55
13_48_06,0.57
13_48_07,0.58
13_48_08,0.59
13_48_09,0.56
13_48_10,0.63
13_48_11,0.51
13_48_12,0.62
13_48_13,0.56
13_48_14,0.58
13_48_15,0.57
13_48_16,0.56
13_48_17,0.6
13_48_18,0.56
13_48_19,0.65
13_48_21,0.6
13_48_22,0.61
13_48_23,0.51
13_48_24,0.61
13_48_25,0.61
13_48_26,0.55
13_48_27,0.59
13_48_28,0.56
13_48_29,0.59
13_48_30,0.51
13_48_31,0.61
13_48_32,0.54
13_48_33,0.57
13_48_34,0.58
13_48_35,0.51
13_48_36,0.59
13_48_37,0.54
13_48_38,0.62
13_48_39,0.56
13_48_40,0.55
13_48_41,0.59
13_48_42,0.53
13_48_43,0.63
13_48_44,0.54
13_48_45,0.59
13_48_46,0.53
13_48_47,0.55
13_48_48,0.65
13_48_49,0.52
13_48_50,0.59
13_48_51,0.5
13_48_52,0.59
13_48_53,0.56
13_48_54,0.52
13_48_55,0.57
13_48_56,0.54
13_48_57,0.58
13_48_58,0.55
13_48_59,0.6
13_49_01,0.56
13_49_02,0.53
13_49_03,0.62
13_49_04,0.48
13_49_05,0.64
13_49_06,0.57
13_49_07,0.6
13_49_08,0.51
13_49_09,0.56
13_49_10,0.54
13_49_11,0.53
13_49_12,0.56
13_49_13,0.55
13_49_14,0.59
13_49_15,0.55
13_49_16,0.56
13_49_17,0.59
13_49_18,0.57
13_49_19,0.57
13_49_20,0.53
13_49_21,0.62
13_49_22,0.49
13_49_23,0.63
13_49_24,0.51
13_49_25,0.56
13_49_26,0.52
13_49_27,0.54
13_49_28,0.66
13_49_29,0.54
13_49_30,0.59
13_49_31,0.49
13_49_32,0.59
13_49_33,0.66
13_49_34,0.56
13_49_35,0.57
13_49_36,0.53
13_49_37,0.63
13_49_38,0.61
13_49_40,0.54
13_49_41,0.51
13_49_42,0.53
13_49_43,0.59
13_49_44,0.56
13_49_45,0.64
13_49_46,0.52
13_49_47,0.61
13_49_48,0.55
13_49_49,0.57
13_49_50,0.58
13_49_51,0.51
13_49_52,0.65
13_49_53,0.52
13_49_54,0.61
13_49_55,0.52
13_49_56,0.64
13_49_57,0.54
13_49_58,0.53
13_49_59,0.63
13_50_00,0.53
13_50_01,0.58
13_50_02,0.56
13_50_03,0.59
13_50_04,0.56
13_50_05,0.57
13_50_06,0.69
13_50_07,0.52
13_50_08,0.66
